k,Inertia,Inertia_Change,Inertia_Change2
5,5066.194426387082,,
6,4932.24497724964,-133.94944913744166,
7,4654.881916549027,-277.36306070061346,-143.4136115631718
8,4574.816344722973,-80.06557182605411,197.29748887455935
9,4471.559671447142,-103.25667327583051,-23.191101449776397
10,4407.773045416808,-63.786626030334446,39.47004724549606
11,4282.191501701432,-125.58154371537603,-61.79491768504158
12,4252.491167991508,-29.700333709924053,95.88121000545198
13,4216.331529361414,-36.15963863009347,-6.459304920169416
14,4117.974063434549,-98.35746592686519,-62.19782729677172
15,4086.4609067703227,-31.513156664226244,66.84430926263894
16,3986.5495215050582,-99.91138526526447,-68.39822860103823
17,4019.319621368289,32.770099863230826,132.6814851284953
18,3962.829753354025,-56.489868014264175,-89.259967877495
19,3924.7984149427466,-38.031338411278284,18.45852960298589
20,3901.611339463745,-23.187075479001578,14.844262932276706
21,3763.9683088127545,-137.64303065099057,-114.45595517198899
22,3719.631738215148,-44.336570597606624,93.30646005338394
23,3678.94167274044,-40.69006547470781,3.646505122898816
24,3658.916375385167,-20.02529735527287,20.66476811943494
25,3629.076409269609,-29.839966115558127,-9.814668760285258
26,3603.4602168847255,-25.61619238488356,4.223773730674566
27,3569.8718763204797,-33.588340564245755,-7.972148179362193
28,3569.400761917663,-0.47111440281651085,33.117226161429244
29,3534.7179527170383,-34.68280920062489,-34.21169479780838
30,3504.1177680332694,-30.60018468376893,4.082624516855958
31,3491.644989063673,-12.47277896959622,18.12740571417271
32,3470.7227386970403,-20.922250366632852,-8.449471397036632
33,3469.838831395639,-0.8839073014014502,20.038343065231402
34,3445.8122932217357,-24.02653817390319,-23.14263087250174
35,3425.009111395279,-20.803181826456694,3.2233563474464972
36,3395.411324180373,-29.59778721490602,-8.794605388449327
37,3374.054322924053,-21.357001256320018,8.240785958586002
38,3359.62645342409,-14.42786949996298,6.929131756357037
39,3346.536170994758,-13.090282429332092,1.3375870706308888
40,3322.378711574613,-24.157459420144733,-11.06717699081264
41,3311.934501630567,-10.444209944046179,13.713249476098554
42,3298.3921544621553,-13.542347168411652,-3.0981372243654732
43,3290.5635088357403,-7.828645626414982,5.71370154199667
44,3279.7444865047146,-10.819022331025735,-2.9903767046107532
45,3265.7355009229263,-14.008985581788238,-3.189963250762503
46,3250.0776196615147,-15.657881261411603,-1.6488956796233651
47,3238.5153613412476,-11.56225832026712,4.095622941144484
48,3217.208620372731,-21.306740968516806,-9.744482648249686
49,3207.3930208785528,-9.815599494178059,11.491141474338747
50,3197.2603353752747,-10.132685503278026,-0.31708600909996676
51,3186.9058680666462,-10.3544673086285,-0.22178180535047431
52,3183.8524248591293,-3.0534432075169207,7.3010241011115795
53,3177.292471990188,-6.559952868941309,-3.5065096614243885
54,3162.659352376189,-14.633119613999042,-8.073166745057733
55,3113.5900655657747,-49.06928681041427,-34.43616719641523
56,3096.0312807091505,-17.558784856624243,31.510501953790026
57,3088.7059077907747,-7.325372918375706,10.233411938248537
58,3079.2640805549177,-9.44182723585709,-2.1164543174813844
59,3072.2533354005423,-7.0107451543754,2.4310820814816907
60,3061.552367202083,-10.700968198459123,-3.690223044083723
61,3050.0843081343473,-11.468059067735794,-0.7670908692766716
62,3032.5213731725394,-17.56293496180797,-6.094875894072175
63,3024.7405613482824,-7.7808118242569435,9.782123137551025
64,3010.7364241180317,-14.004137230250763,-6.223325405993819
65,2998.0342809321137,-12.702143185917976,1.3019940443327869
66,3001.470337022707,3.4360560905934108,16.138199276511386
67,2982.6153168048468,-18.85502021786033,-22.29107630845374
68,2970.9866055728357,-11.628711232011028,7.2263089858493
69,2970.1887883318227,-0.7978172410130355,10.830893990997993
70,2956.5606910358674,-13.628097295955286,-12.83028005494225
71,2948.9205572941014,-7.640133741766022,5.987963554189264
72,2944.5609942559176,-4.359563038183751,3.2805707035822707
73,2932.9959938969596,-11.56500035895806,-7.205437320774308
74,2932.3094025147616,-0.686591382198003,10.878408976760056
75,2917.769977122255,-14.539425392506473,-13.85283401030847
76,2902.795614707787,-14.974362414468033,-0.43493702196155937
77,2893.8825498592064,-8.913064848580689,6.061297565887344
78,2880.0606897883385,-13.821860070867842,-4.908795222287154
79,2868.819518796288,-11.241170992050684,2.5806890788171586
80,2862.6830149660873,-6.136503830200581,5.104667161850102
81,2858.2893338952827,-4.393681070804632,1.742822759395949
82,2851.0306952335445,-7.258638661738132,-2.8649575909335
83,2840.9095170581872,-10.121178175357272,-2.86253951361914
84,2825.64592633511,-15.263590723077414,-5.1424125477201414
85,2814.7501996052706,-10.895726729839225,4.367863993238188
86,2803.0217843386145,-11.728415266656157,-0.8326885368169314
87,2800.0051953714174,-3.0165889671970945,8.711826299459062
88,2790.6716050454074,-9.333590326009926,-6.317001358812831
89,2779.340677525937,-11.330927519470606,-1.9973371934606803
90,2775.240912017867,-4.09976550807005,7.231162011400556
91,2773.184012765764,-2.056899252102994,2.0428662559670556
92,2765.0523842296607,-8.131628536103108,-6.074729284000114
93,2757.589271295264,-7.463112934396577,0.668515601706531
94,2747.4231358958027,-10.166135399461382,-2.703022465064805
95,2748.786043825576,1.362907929773428,11.52904332923481
96,2746.1256678726945,-2.6603759528816227,-4.0232838826550505
97,2739.5713069915596,-6.554360881134926,-3.8939849282533032
98,2735.018688822034,-4.552618169525431,2.001742711609495
99,2730.3028339144953,-4.715854907538869,-0.1632367380134383
100,2727.243115983495,-3.0597179310002502,1.656136976538619
101,2714.712625638986,-12.530490344508962,-9.470772413508712
102,2706.674230630643,-8.038395008343286,4.492095336165676
103,2697.4080331611176,-9.266197469525196,-1.2278024611819092
104,2693.6782900783724,-3.7297430827452445,5.536454386779951
105,2685.380570762189,-8.297719316183247,-4.567976233438003
106,2675.4152527183683,-9.965318043820844,-1.6675987276375963
107,2673.8496784072468,-1.5655743111215088,8.399743732699335
108,2659.758405272122,-14.091273135124538,-12.52569882400303
109,2656.892903337355,-2.865501934767053,11.225771200357485
110,2647.1378368704036,-9.755066466951575,-6.889564532184522
111,2636.345140618224,-10.792696252179667,-1.0376297852280914
112,2634.817837152233,-1.5273034659908262,9.26539278618884
113,2628.810386307341,-6.007450844891991,-4.480147378901165
114,2624.604212032342,-4.2061742749992845,1.801276569892707
